setting,parameter,parameter_value,router_advantage,cost_difference,quality_difference,significance,conclusion_changed,status,n,p_raw,p_adjusted,effect_size,router_quality,router_cost,claim_reversed
quality_threshold,target_quality,0.8,0.06813186813186811,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
quality_threshold,target_quality,0.825,0.0431318681318682,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
quality_threshold,target_quality,0.85,0.01813186813186818,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
quality_threshold,target_quality,0.875,-0.006868131868131844,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
quality_threshold,target_quality,0.9,-0.031868131868131866,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
quality_threshold,target_quality,0.925,-0.05686813186813189,,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
quality_threshold,target_quality,0.95,-0.0818681318681318,,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
routing_budget,budget_mult_of_router_mean,0.5,,0.0003938829258241758,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true,infeasible,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
routing_budget,budget_mult_of_router_mean,0.75,,0.00019694146291208796,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true,infeasible,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
routing_budget,budget_mult_of_router_mean,1.0,-0.05494505494505497,0.0,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
routing_budget,budget_mult_of_router_mean,1.25,-0.05494505494505497,-0.00019694146291208796,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
routing_budget,budget_mult_of_router_mean,1.5,-0.05494505494505497,-0.0003938829258241757,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
routing_budget,budget_mult_of_router_mean,2.0,-0.05494505494505497,-0.0007877658516483516,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
random_seed,permutation_seed,20260909,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
random_seed,permutation_seed,20260905,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
random_seed,permutation_seed,1,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
random_seed,permutation_seed,42,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
random_seed,permutation_seed,12345,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
random_seed,random_policy_seed,20260909,-0.05219780219780212,-7.479769230769233e-05,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true,tradeoff,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
random_seed,random_policy_seed,20260905,-0.038461538461538436,-0.0002089619230769232,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true,tradeoff,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
random_seed,random_policy_seed,1,-0.0219780219780219,-0.00019039989010989026,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true,tradeoff,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
