query_id,cheap_end_to_end_ms,strong_end_to_end_ms,router_selected_end_to_end_ms,router_selected_tier,router_selected_model,router_decision_ms,router_overhead_ms,router_overhead_pct,router_minus_cheap_ms,router_minus_strong_ms,source
HumanEval/144,4490.0,880.0,4490.0,2,openai/gpt-oss-20b,,,,0.0,3610.0,legacy_latency_s
HumanEval/145,10530.0,1740.0,185370.0,1,Qwen/Qwen3.5-9B,,,,174840.0,183630.0,legacy_latency_s
HumanEval/146,7900.0,940.0,7900.0,2,openai/gpt-oss-20b,,,,0.0,6960.0,legacy_latency_s
HumanEval/147,11610.0,970.0,11610.0,2,openai/gpt-oss-20b,,,,0.0,10640.0,legacy_latency_s
HumanEval/148,8470.0,1210.0,8330.0,1,Qwen/Qwen3.5-9B,,,,-140.0,7120.0,legacy_latency_s
HumanEval/149,6260.0,1400.0,6260.0,2,openai/gpt-oss-20b,,,,0.0,4860.0,legacy_latency_s
HumanEval/15,2420.0,680.0,15190.0,1,Qwen/Qwen3.5-9B,,,,12770.0,14510.0,legacy_latency_s
HumanEval/150,2710.0,1160.0,36650.0,1,Qwen/Qwen3.5-9B,,,,33940.0,35490.0,legacy_latency_s
HumanEval/151,6470.0,590.0,91400.0,1,Qwen/Qwen3.5-9B,,,,84930.0,90810.0,legacy_latency_s
HumanEval/152,1630.0,510.0,1630.0,2,openai/gpt-oss-20b,,,,0.0,1120.0,legacy_latency_s
HumanEval/153,3470.0,1070.0,68470.0,1,Qwen/Qwen3.5-9B,,,,65000.0,67400.0,legacy_latency_s
HumanEval/154,9110.0,770.0,12700.0,1,Qwen/Qwen3.5-9B,,,,3590.0,11930.0,legacy_latency_s
HumanEval/155,3550.0,1210.0,29120.0,1,Qwen/Qwen3.5-9B,,,,25570.0,27910.0,legacy_latency_s
HumanEval/156,5140.0,1420.0,9470.0,1,Qwen/Qwen3.5-9B,,,,4330.0,8050.0,legacy_latency_s
HumanEval/157,5430.0,1100.0,44940.0,1,Qwen/Qwen3.5-9B,,,,39510.0,43840.0,legacy_latency_s
HumanEval/158,6080.0,870.0,11780.0,1,Qwen/Qwen3.5-9B,,,,5700.0,10910.0,legacy_latency_s
HumanEval/159,4820.0,630.0,61650.0,1,Qwen/Qwen3.5-9B,,,,56830.0,61020.0,legacy_latency_s
HumanEval/16,2360.0,710.0,4190.0,1,Qwen/Qwen3.5-9B,,,,1830.0,3480.0,legacy_latency_s
HumanEval/160,5990.0,1080.0,190300.0,1,Qwen/Qwen3.5-9B,,,,184310.0,189220.0,legacy_latency_s
HumanEval/161,3670.0,570.0,570.0,3,gpt-4o,,,,-3100.0,0.0,legacy_latency_s
HumanEval/162,2260.0,820.0,6200.0,1,Qwen/Qwen3.5-9B,,,,3940.0,5380.0,legacy_latency_s
HumanEval/163,7970.0,1260.0,182890.0,1,Qwen/Qwen3.5-9B,,,,174920.0,181630.0,legacy_latency_s
HumanEval/17,4890.0,1190.0,4890.0,2,openai/gpt-oss-20b,,,,0.0,3700.0,legacy_latency_s
HumanEval/18,3580.0,990.0,6820.0,1,Qwen/Qwen3.5-9B,,,,3240.0,5830.0,legacy_latency_s
HumanEval/19,5940.0,1640.0,7210.0,1,Qwen/Qwen3.5-9B,,,,1270.0,5570.0,legacy_latency_s
HumanEval/2,2830.0,1010.0,3690.0,1,Qwen/Qwen3.5-9B,,,,860.0,2680.0,legacy_latency_s
HumanEval/20,6190.0,860.0,6190.0,2,openai/gpt-oss-20b,,,,0.0,5330.0,legacy_latency_s
HumanEval/21,5100.0,1360.0,10270.0,1,Qwen/Qwen3.5-9B,,,,5170.0,8910.0,legacy_latency_s
HumanEval/22,3630.0,810.0,7190.0,1,Qwen/Qwen3.5-9B,,,,3560.0,6380.0,legacy_latency_s
HumanEval/23,1520.0,670.0,5180.0,1,Qwen/Qwen3.5-9B,,,,3660.0,4510.0,legacy_latency_s
HumanEval/24,7230.0,930.0,8800.0,1,Qwen/Qwen3.5-9B,,,,1570.0,7870.0,legacy_latency_s
HumanEval/25,5310.0,1320.0,5310.0,2,openai/gpt-oss-20b,,,,0.0,3990.0,legacy_latency_s
HumanEval/26,4070.0000000000005,960.0,5590.0,1,Qwen/Qwen3.5-9B,,,,1519.9999999999995,4630.0,legacy_latency_s
