tier,latency_s,cdf
2,4.35,0.5164835164835165
2,4.36,0.5192307692307693
2,4.41,0.521978021978022
2,4.43,0.5247252747252747
2,4.46,0.5274725274725275
2,4.47,0.5302197802197802
2,4.49,0.532967032967033
2,4.49,0.5357142857142857
2,4.51,0.5384615384615384
2,4.56,0.5412087912087912
2,4.56,0.5439560439560439
2,4.61,0.5467032967032966
2,4.61,0.5494505494505495
2,4.64,0.5521978021978022
2,4.64,0.554945054945055
2,4.66,0.5576923076923077
2,4.69,0.5604395604395604
2,4.7,0.5631868131868132
2,4.71,0.5659340659340659
2,4.72,0.5686813186813187
2,4.72,0.5714285714285714
2,4.73,0.5741758241758241
2,4.82,0.5769230769230769
2,4.84,0.5796703296703297
2,4.85,0.5824175824175825
2,4.86,0.5851648351648352
2,4.89,0.5879120879120879
2,4.89,0.5906593406593407
2,4.91,0.5934065934065934
2,4.91,0.5961538461538461
2,4.94,0.5989010989010989
2,4.96,0.6016483516483516
2,4.97,0.6043956043956044
2,4.98,0.6071428571428571
2,5.01,0.6098901098901099
2,5.05,0.6126373626373627
2,5.06,0.6153846153846154
2,5.08,0.6181318681318682
2,5.1,0.6208791208791209
2,5.11,0.6236263736263736
2,5.13,0.6263736263736264
2,5.14,0.6291208791208791
2,5.15,0.6318681318681318
2,5.16,0.6346153846153846
2,5.17,0.6373626373626373
2,5.2,0.6401098901098901
2,5.2,0.6428571428571429
2,5.23,0.6456043956043956
2,5.25,0.6483516483516484
2,5.25,0.6510989010989011
2,5.28,0.6538461538461539
2,5.31,0.6565934065934066
2,5.32,0.6593406593406593
2,5.33,0.6620879120879121
2,5.43,0.6648351648351648
2,5.47,0.6675824175824175
2,5.49,0.6703296703296703
2,5.56,0.6730769230769231
2,5.69,0.6758241758241759
2,5.7,0.6785714285714286
2,5.72,0.6813186813186813
2,5.74,0.6840659340659341
2,5.77,0.6868131868131868
2,5.78,0.6895604395604396
2,5.83,0.6923076923076923
2,5.88,0.695054945054945
